TITLE,ARTIST
you know i care,the duke pearson nonet
speak like a child,herbie hancock
"tanto canto ""salute to mitchell-ruff""",mitchell & ruff
constant wind,johnny pate
the guiding spirit,jay hoggard
sweet rita suite (part 1): her spirit,joe farrell
when the sky is clear,buster williams
we'll be so happy,robin kenyatta
if you ever wanna,"red beans & rice,"
just be you,gilberto with turrentine
pavillon,clare fischer & salsa picante
hypnagogia,devin morrison
