nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
qiang wei toye swu bara to yaju,Bara to Yajū,haruomi hosono,Haruomi Hosono,0.5581,1.0
sueno latino,Sueno Latino - Paradise Version,sueno latino,Sueño Latino,0.5581,0.9167
when i dream,When I Dream - Original Version,the teardrop explodes,The Teardrop Explodes,0.5581,1.0
sueno latino (another 7# edit),Sueno Latino - Paradise Version,sueno latino,Sueño Latino,0.5574,0.9167
the sensai knows the trix [88.295 bpm],Attached to the line [166.489 BPM],vegyn,Vegyn,0.5556,1.0
brown eyes,Brown Eyes - 2015 Remaster,fleetwood mac,Fleetwood Mac,0.5556,1.0
family man,Family Man - 2017 Remaster,fleetwood mac,Fleetwood Mac,0.5556,1.0
the seeker,The Line,the chicken and the egg,The GN Band,0.5556,0.5294
coast road,Coast Road - 2021 Remaster,david crosby,David Crosby,0.5556,1.0
on the beat,The Way,the b.b. & q. band,The Gap Band,0.5556,0.6
simple man (alternate mix),Simple Man,graham nash,Graham Nash,0.5556,1.0
roundabout,Roundabout - 2003 Remaster,yes,Yes,0.5556,1.0
the jogger,The Line,the ross emery band,The GN Band,0.5556,0.6
on the beat,The Way,bb and q band,The Gap Band,0.5556,0.56
go to zero,Go to Zero - 2005 Remaster,the power station,The Power Station,0.5556,1.0
be careful,The Cult,subject,Source Direct,0.5556,0.5
nice to each other,"Nice To Each Other - Live from L’Olympia, Paris",olivia dean,Olivia Dean,0.5538,1.0
"el guoum agui (imete tayrri, 1978)",El Guoum Agui,les abranis,Les Abranis,0.5532,1.0
showdown [funky boss],Showdown,thin lizzy,Thin Lizzy,0.5517,1.0
sad song,Sad Song - Remastered,autumn,Autumn,0.5517,1.0
untitled,Untitled - Remastered,the cure,The Cure,0.5517,1.0
watching me,Watching Me (2020 Remastered),jill scott,Jill Scott,0.55,1.0
a long walk,A Long Walk (2020 Remastered),jill scott,Jill Scott,0.55,1.0
love in the darkness,Everything She Wants,"christian vander,",The Egyptian Lover,0.55,0.5143
to the test [touch sensitive],To The Test,elaine howley,Elaine Howley,0.55,1.0
so verliebt,So Verliebt - Remastered 2018,lunapark,Lunapark,0.55,1.0
lotta nosense ii [121.363 bpm],Just Joshin [117 BPM],vegyn,Vegyn,0.549,1.0
african and white (original extended version),African And White,china crisis,China Crisis,0.5484,1.0
fifty-fifty clown,Fifty - Fifty Clown - Robert Elms BBC Session,cocteau twins,Cocteau Twins,0.5484,1.0
rest here,Featherweight,car culture,Car Culture,0.5455,1.0
dawn,Dryland,misha panfilov,Misha Panfilov,0.5455,1.0
who,Who I Am,odyssey,Odyssey,0.5455,1.0
sunrise,Onie,electric wind,The Electric Prunes,0.5455,0.625
trisha's return,The Return Journey,woo,Woo,0.5455,1.0
viva forever (spice girls cover),Viva Forever,jim o'rourke,Jim O'Rourke,0.5455,1.0
margins,Cars,brinkmann,Gary Numan,0.5455,0.5263
in the morning,The Line,a band,The GN Band,0.5455,0.5882
alone,Talkin,steve hilage,Vee Gees,0.5455,0.5
the valleys,The Thistle,electrolane,Jesse Rae,0.5455,0.5
the chill,Come with Me - The Chill,paprika soul,Paprika Soul,0.5455,1.0
"guinnevere (live, bbc in concert 1970)",Guinnevere - Live,david crosby & graham nash,David Crosby;Graham Nash,0.5455,0.92
"love, love, love (bonus beats)",Love Love Love,those guys,Those Guys,0.5455,1.0
peligro (danger),Danger,"sonic boom,",Panda Bear;Sonic Boom,0.5455,0.625
standing there,Stand Up,jady kurrent,Al Green,0.5455,0.5
hole in the middle,Walking In The Rain,flash and the pan,Flash and the Pan,0.5405,1.0
some velvet morning,Somewhere I Belong,gabor szabo,Gábor Szabó,0.5405,0.8182
"there,s a rugged road",There's a Rugged Road - Solo Demo; Remastered Version,judee sill,Judee Sill,0.5405,1.0
leafy lane,Leafy Lanes - 2009 Remaster,fat mattress,Fat Mattress,0.5405,1.0
demon bitch,Diamond Jubilee,cindy lee,Cindy Lee,0.5385,1.0
baby don't cry (cry baby club version),Baby Don't Cry,lalah hathaway,Lalah Hathaway,0.5385,1.0
sekoilu seesty,Sekoilu seestyy - The Madness Subsides,pekka pohjola,Pekka Pohjola,0.5385,1.0
here i am,There Is Only One,"pastor t. l. barrett,",Pastor T.L. Barrett and the Youth for Christ Choir,0.5385,0.5352
there is only one,Here I Am,"pastor t. l. barrett,",Pastor T.L. Barrett and the Youth for Christ Choir,0.5385,0.5352
gone away again,Fine Anyway,roger fakhr,Rogér Fakhr,0.5385,0.9091
fine anyway,Gone Away Again,roger fakhr,Rogér Fakhr,0.5385,0.9091
baby don't cry (cry baby club version),Baby Don't Cry,lalah hathway,Lalah Hathaway,0.5385,0.963
get another love,So In Love,joey negro and sean p,Smokey Robinson,0.5385,0.5
gimme da lite,She's a Flirt,"southside,",Cassie,0.5385,0.5
just like arcadia,Just Call,psychick tv,Sherrick,0.5385,0.5263
i need love,"I Need Love - 7"" Issue Version",carrie cleveland,Carrie Cleveland,0.5366,1.0
heavy vibes,Heavy Vibes - Original Version,montana sextet,Montana Sextet,0.5366,1.0
bob's yer uncle,Bob's Yer Uncle - 2007 Remastered Version,happy mondays,Happy Mondays,0.5357,1.0
jukebox baby 96,Jukebox Baby 96 - 2005 Remastered Version,suicide,Suicide,0.5357,1.0
smiley smile smiley [107.029 bpm],Wayne Is innocent [100 BPM],vegyn,Vegyn,0.5333,1.0
roam,Roam - Edit,b-52's,The B-52's,0.5333,0.75
may this be love,It's Your Love,the jimi hendrix experience,The Other People Place,0.5333,0.5306
contemplation 2007,Acceleration,bill nelson,Bill Nelson,0.5333,1.0
soso (live),SoSo,elaine howley,Elaine Howley,0.5333,1.0
exotika,Emotions,chris and cosey,Mariah Carey,0.5333,0.5185
petulant,Petulant - Sax Version,shriekback,Shriekback,0.5333,1.0
nisyan,Poinciana,ahmed fakrun,Ahmad Jamal,0.5333,0.5217
pulp jam,Pulp Jam (feat. Mamii),cruza & mamii,Cruza;Mamii,0.5333,0.8333
when will you be back?,Then we could be free..,kahmi kaire,MIKE,0.5333,0.5333
thesis,The guide,satya sai maitreya kali,Yani Martinelli,0.5333,0.5263
in the pocket,Dancing To Forget,detroit strings,Romie Singh,0.5333,0.6154
the girl from ipanema,Stop the World for a Day,height-dismay,The Twilights,0.5333,0.5385
let's quit smoking,Wake Up Song,sfa,Sunfear,0.5333,0.6
sin tu amor,Sitting In The Park,billy y belly,Billy Stewart,0.5333,0.5385
britnaeys new baby [125 bpm],I wanna mode this yah know [151 BPM],vegyn,Vegyn,0.5312,1.0
no letting go,No Letting Go (Instrumental Version),the hit co.,The Hit Co.,0.5306,1.0
brainwash,Brainwash - 2023 Remaster,telex,Telex,0.5294,1.0
?quien (suite),¿Quién? - Remastered,juana molina,Juana Molina,0.5294,1.0
love comes quickly,"Love, Love, Love",hidemi ishikawa,The Chakachas,0.5294,0.5
william b,William B - 2024 Remaster,the durutti column,The Durutti Column,0.5294,1.0
the sun and dahlia,Then and forever,world standard,Ronald Langestraat,0.5294,0.5
love comes quickly,"Love, Love, Love",hidemi ishkawa,The Chakachas,0.5294,0.5185
decadence,Decadence - 2003 Remaster,kevin ayers,Kevin Ayers,0.5294,1.0
trip of the light,Call Of The River,putty in her hands,Linda Perhacs,0.5294,0.5161
the year of the sun,Late One Sunday,the gordian knot,The American Analog Set,0.5294,0.6154
let's be lovers,Let's Stay Together,back street band,Al Green,0.5294,0.5
get it up for love,You Got the Love,maxine nightingale,Maxine Nightingale,0.5294,1.0
vision of the end,Draw Of The Cards,sylvian carel,Kim Carnes,0.5294,0.5217
