nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
nausica (love will be revealed),Nausicaä (Love Will Be Revealed),cameron winter,Cameron Winter,0.9841,1.0
springande & vck min kropp opp,Springande & Väck Min Kropp Opp,ray ragnhild adams,Ray Ragnhild Adams,0.9836,1.0
hey who put these sunsets here,Hey Who Put These Sunsets Here?,jonny dillon,Jonny Dillon,0.9836,1.0
no podes fugir do teu destino,Não Podes Fugir do Teu Destino,hareton salvanini,Hareton Salvanini,0.9831,1.0
train leaves here this mornin',Train Leaves Here This Mornin,doug dillard & gene clark,Dillard & Clark,0.9831,0.75
the order of invisible thing,The Order Of Invisible Things,domenique dumont,Domenique Dumont,0.9825,1.0
germayne (like a cathedral),Germayne (Like a Catherdral),the cleaners from venus,The Cleaners From Venus,0.9818,1.0
you were too good to be true,You Were To Good To Be True,gary wilson,Gary Wilson,0.9818,1.0
a street that rhymes at 6 am,A Street That Rhymes at 6am,norma tanega,Norma Tanega,0.9818,1.0
"another girl, another planet",Another Girl Another Planet,the only ones,The Only Ones,0.9818,1.0
you turn me on i'm a radio,"You Turn Me On, I'm a Radio",joni mitchell,Joni Mitchell,0.9811,1.0
if someones gonna love you,If someone's gonna love you,0perelly,Operelly,0.9811,0.875
let's go away for a while,Let's Go Away For Awhile,the beach boys,The Beach Boys,0.9796,1.0
are you lonesome like me,Are You Lonesome Like Me?,the feminine complex,The Feminine Complex,0.9796,1.0
are you really on drugs,Are You Really on Drugs?,the clean,The Clean,0.9787,1.0
what's the sense of war?,What's the Sense of War,monica rypma,Monica Rypma,0.9787,1.0
can we still be friends,Can We Still Be Friends?,todd rundgren,Todd Rundgren,0.9787,1.0
reach out i'll be there,"Reach Out, I'll Be There",derrick harriott,Derrick Harriott,0.9787,1.0
the path less traveled,The Path Less Travelled,vegyn,Vegyn,0.9778,1.0
aquamarine luvs ecstasy,Aquamarie Luvs Ecstasy,amaarae,Amaarae,0.9778,1.0
perch non sei una mela,Perché non sei una mela,lucio battisti,Lucio Battisti,0.9778,1.0
waterfalls (3a.m. mix),Waterfalls (3 A.M. Mix),after hours,After Hours,0.9778,1.0
girl! you better change,Girl You Better Change,sag war fare,Sag War Fare,0.9778,1.0
midnight round mekiness,Midnight Round Mekines,javier bergia,Javier Bergia,0.9778,1.0
(soft guitar at night so not to wake anyone),Soft Guitar at Night so Not to Wake Anyone,samuel organ,Samuel Organ,0.9767,1.0
gwapo ko galing sayo,Gwapo ko Galing Sa'Yo,eyedress,Eyedress,0.9756,1.0
"africa talks to you ""the asphalt jungle""","Africa Talks to You (""The Asphalt Jungle"")",sly & the family stone,Sly & The Family Stone,0.9756,1.0
do ya think i'm sexy?,Do Ya Think I'm Sexy,rod stewart,Rod Stewart,0.9756,1.0
da ya think i'm sexy,Da Ya Think I'm Sexy?,rod stewart,Rod Stewart,0.9756,1.0
when it's all alright,When Its All Alright,blackfoot,Blackfoot,0.9756,1.0
oppression freedom / oppression (reprise),Oppression Freedom Oppression (Reprise),winter,Winter,0.975,1.0
do yourself a favour,Do Yourself A Favor,prince,Prince,0.9744,1.0
noone's little girl,No One's Little Girl,the raincoats,The Raincoats,0.9744,1.0
no ones little girl,No One's Little Girl,the raincoats,The Raincoats,0.9744,1.0
analisi scientifche,Analisi scientifiche,giuliano sorgini,Giuliano Sorgini,0.9744,1.0
lansana's preiestess,Lansana's Priestess,donald byrd,Donald Byrd,0.9744,1.0
"rave on, john donne",Rave on John Donne,van morrison,Van Morrison,0.973,1.0
do you wanna dance,Do You Wanna Dance?,the beach boys,The Beach Boys,0.973,1.0
lasana's priestess,Lansana's Priestess,donald byrd,Donald Byrd,0.973,1.0
"be good to me, poly",Be Good To Me Poly,youandewan,Youandewan,0.973,1.0
it;'s gotta be real,It's Gotta Be Real,the association,The Association,0.973,1.0
taste whats rhythm,Taste What's Rhythm,swamp children,Swamp Children,0.973,1.0
strollin on sunday,Strollin' On Sunday,cerrone,Cerrone,0.973,1.0
oe oe faz o carro de boi na estrada,Oé Oé (Faz o Carro de Boi Na Estrada),jorge ben jor,Jorge Ben Jor,0.9722,1.0
i want you anyway,I Want You Any Way,blow up,BLOW UP,0.9714,1.0
unchanging windows,Unchanging Window,broadcast,Broadcast,0.9714,1.0
corridor of dream,Corridor of Dreams,the cleaners from venus,The Cleaners From Venus,0.9714,1.0
jumpin jack flash,Jumpin' Jack Flash,ananda shankar,Ananda Shankar,0.9714,1.0
keep on keepin on,Keep On Keepin' On,tommy guerrero,Tommy Guerrero,0.9714,1.0
wont be your fool,Won't Be Your Fool,escape from new york,Escape from New York,0.9714,1.0
plays of the waves,Play Of The Waves,pram,Pram,0.9714,1.0
island in the sky,Islands In The Sky,murry wilson,Murry Wilson,0.9714,1.0
it takes a muscle to fall in love,It Takes a Muscle [To Fall in Love],spectral display,Spectral Display,0.9706,1.0
oh how i miss you,O How I Miss You,broadcast,Broadcast,0.9697,1.0
